City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kamenka,51.3223,42.7678,63.61,90,6,1.07,RU,1658868578
Buin,-33.7333,-70.75,62.92,63,61,3.02,CL,1658868363
Shestakovo,56.4915,103.96,49.69,97,16,3.89,RU,1658868579
Gisborne,-38.6533,178.0042,57.72,78,100,14.97,NZ,1658868579
Andra,62.5147,65.8878,50.2,74,100,3.49,RU,1658868510
Jiangyou,31.7667,104.7167,76.73,88,36,5.48,CN,1658868580
Codrington,-38.2667,141.9667,51.71,94,78,9.28,AU,1658868397
Kavieng,-2.5744,150.7967,82.45,71,96,12.59,PG,1658868327
Gualeguaychú,-33.0094,-58.5172,74.89,79,97,6.35,AR,1658868580
Lübbenau,51.8667,13.9667,63.84,75,15,5.53,DE,1658868580
Utete,-7.986,38.758,69.76,91,73,4.63,TZ,1658868581
Itupiranga,-5.1347,-49.3267,97.12,46,34,2.48,BR,1658868581
Tūkrah,32.5341,20.5791,79.45,78,0,3.56,LY,1658868581
Kassala,15.451,36.4,73.45,82,100,17.05,SD,1658868582
Tobermory,45.2501,-81.6665,66.22,72,2,11.72,CA,1658868582
Wajima,37.4,136.9,76.48,85,0,3.42,JP,1658868340
Tual,-5.6667,132.75,79.23,79,37,23.64,ID,1658868415
Aklavik,68.2191,-135.0107,65.44,38,100,16.73,CA,1658868583
Rjukan,59.8789,8.5941,58.44,79,82,10.36,NO,1658868583
Kaniama,-7.5667,24.1833,71.94,35,91,4.41,CD,1658868583
Gloucester,51.8657,-2.2431,64.72,63,100,4.16,GB,1658868584
Harbour Breton,47.4833,-55.7983,60.75,99,100,9.8,CA,1658868584
San Jose,37.3394,-121.895,89.92,46,20,6.91,US,1658868297
Grand Gaube,-20.0064,57.6608,69.39,76,2,1.99,MU,1658868585
Warren,39.4334,-84.1666,76.05,82,100,0,US,1658868364
Kyenjojo,0.6328,30.6214,67.33,53,100,1.14,UG,1658868585
Fortuna,40.5982,-124.1573,71.92,69,38,10,US,1658868506
Ayan,56.45,138.1667,58.71,79,88,6.96,RU,1658868586
Metro,-5.1131,105.3067,72.81,94,97,4.52,ID,1658868586
Tayu,-6.5397,111.0518,74.08,81,88,7.7,ID,1658868586
Langenburg,49.2544,9.8458,69.93,57,40,3.44,DE,1658868587
Fairbanks,64.8378,-147.7164,59.49,54,75,16.11,US,1658868454
Safaga,26.7292,33.9365,87.37,45,0,2.98,EG,1658868587
Caucayá,-0.1934,-74.7819,78.08,86,78,4.21,CO,1658868587
Konotop,51.2403,33.2026,62.47,87,0,4.09,UA,1658868588
Kudahuvadhoo,2.6708,72.8944,82.09,77,34,18.77,MV,1658868588
Flinders,-34.5833,150.8552,50.18,68,4,11.01,AU,1658868588
Ormara,25.2088,64.6357,82.9,81,100,3.94,PK,1658868338
Yabrūd,33.9674,36.6574,69.64,36,0,1.1,SY,1658868589
Nizwá,22.9333,57.5333,79.57,78,100,4.76,OM,1658868589
Kiryat Gat,31.61,34.7642,81.39,57,0,2.86,IL,1658868590
Pemberton,50.3164,-122.8027,94.69,30,3,1.74,CA,1658868590
Jinchang,38.4953,102.1739,68.74,42,66,10.71,CN,1658868590
Sergeevka,53.88,67.4158,63.59,90,100,9.4,KZ,1658868591
Opuwo,-18.0607,13.84,61.68,30,6,3.78,NA,1658868591
Iberia,29.9502,-91.7507,87.06,74,0,3.44,US,1658868591
Porto de Moz,-1.7483,-52.2383,81.45,70,100,2.91,BR,1658868591
Port Augusta,-32.5,137.7667,41.41,81,7,2.19,AU,1658868592
Marshall,34.3834,-86.3333,93.51,54,0,8.05,US,1658868592
South Sioux City,42.4739,-96.4136,82.35,57,40,9.22,US,1658868592
Sterling,39.0062,-77.4286,79.9,79,75,4.61,US,1658868552
Trelew,-43.249,-65.3051,45.91,93,100,7.85,AR,1658868578
North Bend,43.4065,-124.2243,84.24,85,0,10.36,US,1658868370
Matara,5.9485,80.5353,77.07,91,91,4.76,LK,1658868598
Van Buren,35.4368,-94.3483,105.33,31,20,4,US,1658868599
Simimbaan,17.1157,121.5824,75.45,92,91,0.83,PH,1658868599
Rahden,52.4333,8.6167,64.06,71,100,6.51,DE,1658868599
Otradnoye,59.7775,30.8181,66.25,82,96,5.68,RU,1658868600
Saint-François,46.4154,3.9054,67.44,56,0,8.05,FR,1658868600
Guilin,25.2819,110.2864,75.31,80,4,1.39,CN,1658868600
Whitianga,-36.8333,175.7,55.24,71,32,19.8,NZ,1658868601
Penzance,50.1186,-5.5371,57.88,69,17,11.74,GB,1658868601
Wewak,-3.5534,143.6268,77.23,89,92,8.66,PG,1658868601
Tarko-Sale,64.9225,77.785,55.47,80,3,7.76,RU,1658868602
Puerto Escondido,15.85,-97.0667,83.39,77,81,5.91,MX,1658868602
Mount Isa,-20.7333,139.5,55.17,38,0,8.05,AU,1658868548
Bilma,18.6853,12.9164,93.2,11,32,7.61,NE,1658868603
Hearst,49.6835,-83.6665,77.25,40,100,8.81,CA,1658868603
Oodweyne,9.4092,45.064,75.42,36,84,19.28,SO,1658868604
Walvis Bay,-22.9575,14.5053,54.09,82,0,5.75,NA,1658868342
Nikšić,42.7731,18.9445,74.68,51,90,5.1,ME,1658868604
Camacupa,-12.0167,17.4833,59.27,34,1,3.27,AO,1658868604
Rāmganj Mandi,24.65,75.9333,75.92,90,87,7.11,IN,1658868605
Novo Aripuanã,-5.1206,-60.3797,93.9,35,41,1.68,BR,1658868605
Novobirilyussy,56.9514,90.6661,52,95,100,4.59,RU,1658868605
Wang Saphung,17.301,101.7685,79.7,84,7,2.33,TH,1658868606
Teya,60.3778,92.6267,56.61,94,100,4.12,RU,1658868606
Buluang,13.3068,123.3425,78.31,91,67,2.13,PH,1658868606
Redlands,34.0556,-117.1825,100.11,34,0,7,US,1658868532
Lhokseumawe,5.1801,97.1507,75.38,93,100,5.1,ID,1658868607
Novyy Yegorlyk,46.3927,41.8716,67.86,77,9,6.24,RU,1658868607
Seoul,37.5683,126.9778,78.4,89,75,4.61,KR,1658868424
Aranos,-24.1333,19.1167,58.93,20,55,4.83,NA,1658868608
Mastic Beach,40.7668,-72.8521,80.98,66,0,6.91,US,1658868608
Jizan,17.3333,42.6667,90.54,68,100,2.89,SA,1658868609
Onguday,50.75,86.15,47.8,89,0,1.57,RU,1658868609
Evensk,61.95,159.2333,55.15,77,57,3.71,RU,1658868610
Belyy Yar,53.6039,91.3903,51.85,100,40,2.24,RU,1658868350
Taoudenni,22.6783,-3.9836,104,9,65,11.72,ML,1658868437
Aykhal,66,111.5,67.71,73,96,8.41,RU,1658868610
Orsha,54.5153,30.4053,63.3,84,95,4.16,BY,1658868611
Chengde,40.9725,117.9361,65.86,93,53,1.97,CN,1658868611
Lipin Bor,60.2622,37.9763,64.58,88,65,3.76,RU,1658868612
Auki,-8.7676,160.7034,79.16,78,34,3.06,SB,1658868612
Cangzhou,38.3167,116.8667,75.09,79,0,5.59,CN,1658868411
Ambovombe,-25.1667,46.0833,63.39,71,0,3.47,MG,1658868613
Nakusp,50.2499,-117.8023,88.47,44,0,2.3,CA,1658868370
Kumul,42.8,93.45,79.25,16,1,8.48,CN,1658868613
Halifax,44.6453,-63.5724,82.29,69,75,17.27,CA,1658868554
Verín,41.9415,-7.4381,65.57,65,0,6.49,ES,1658868614
Pontes e Lacerda,-15.2261,-59.3353,92.7,22,10,4.23,BR,1658868615
Tierra Blanca,14.5833,-88.5833,83.86,77,85,2.26,HN,1658868615
Leeton,-34.5667,146.4,45.19,81,79,8.39,AU,1658868616
Dalvik,65.9702,-18.5286,55.33,77,100,3.29,IS,1658868616
Saryozek,44.3583,77.9753,68.49,18,35,1.68,KZ,1658868617
Myaundzha,63.0494,147.1858,56.59,88,100,3.71,RU,1658868617
Kanigoro,-8.13,112.219,69.28,90,35,2.15,ID,1658868618
Denham Springs,30.4869,-90.9562,85.93,82,100,3.44,US,1658868624
Northam,51.0333,-4.2167,59.61,71,0,9.84,GB,1658868324
Anloga,5.7947,0.8973,75.9,89,98,16.08,GH,1658868624
Gold Coast,-28,153.4333,52.03,73,0,8.05,AU,1658868489
Pingliang,35.5392,106.6861,65.71,73,98,16.91,CN,1658868625
Pishin,30.5803,66.9961,79.75,57,1,1.54,PK,1658868625
Kemijärvi,66.7131,27.4306,61.95,94,100,12.08,FI,1658868625
Port Keats,-14.25,129.55,66.06,46,90,8.05,AU,1658868626
Mapimí,25.8167,-103.85,89.82,23,96,8.57,MX,1658868626
Cascais,38.6979,-9.4215,73.26,74,20,23,PT,1658868450
Umluj,25.0213,37.2685,85.84,67,11,6.4,SA,1658868582
Belaya Gora,68.5333,146.4167,51.31,51,89,13.96,RU,1658868627
Great Falls,47.5002,-111.3008,79.68,45,0,5.75,US,1658868627
Trincomalee,8.5711,81.2335,80.44,80,93,4.38,LK,1658868627
Malinovskiy,61.1953,62.8397,52,67,33,5.28,RU,1658868628
Katete,-0.7818,29.7544,69.66,50,100,1.92,UG,1658868628
Maricá,-22.9194,-42.8186,75.49,79,4,15.26,BR,1658868570
Arlit,18.7369,7.3853,100.31,10,23,16.96,NE,1658868414
Jingdezhen,29.2947,117.2079,79.86,83,87,1.66,CN,1658868629
Lufilufi,-13.8745,-171.5986,78.58,79,62,19.48,WS,1658868629
Jalu,29.0331,21.5482,85.84,36,5,16.08,LY,1658868629
Fort Nelson,58.8053,-122.7002,83.79,39,40,4.61,CA,1658868630
Kovūr,14.4833,79.9833,81.64,70,47,8.1,IN,1658868630
Nyāmti,14.15,75.5833,69.73,94,100,2.98,IN,1658868630
Forsytheganj,52.6333,29.7333,63.07,80,54,5.17,BY,1658868631
Burnie,-41.0667,145.9167,46.92,71,5,9.06,AU,1658868631
Kasongo-Lunda,-6.4667,16.8167,74.28,27,100,2.84,CD,1658868631
Harper,4.375,-7.7169,75.25,80,100,8.75,LR,1658868377
Macenta,8.5435,-9.471,68.58,98,80,1.28,GN,1658868632
Acajutla,13.5928,-89.8275,83.16,70,87,5.53,SV,1658868632
Toora-Khem,52.4675,96.11,44.08,96,100,0.47,RU,1658868632
Port-Cartier,50.0334,-66.8654,73.51,70,92,11.32,CA,1658868633
Rosehearty,57.697,-2.1132,56.28,85,41,5.1,GB,1658868633
Puerto del Rosario,28.5004,-13.8627,83.95,54,0,12.66,ES,1658868634
Port-Gentil,-0.7193,8.7815,75.16,88,100,12.66,GA,1658868587
Toma,12.7667,-2.8833,82.69,65,85,7.61,BF,1658868634
Bandarbeyla,9.4942,50.8122,75.99,82,27,31.27,SO,1658868634
Son La,21.3167,103.9,71.37,88,77,1.28,VN,1658868635
Río Gallegos,-51.6226,-69.2181,32.05,69,0,6.91,AR,1658868635
Pūndri,29.75,76.55,84.09,63,99,7.38,IN,1658868635
Drensteinfurt,51.7953,7.7382,64.38,64,92,7.34,DE,1658868636
Santiago del Estero,-27.7951,-64.2615,85.57,42,66,5.3,AR,1658868636
Tromsø,69.6496,18.957,55.42,88,75,8.05,NO,1658868636
Piritiba,-11.7303,-40.5553,70.75,65,63,9.69,BR,1658868637
Guozhen,34.3659,107.359,75.42,93,99,7.87,CN,1658868637
Banda Aceh,5.5577,95.3222,77.52,84,100,9.13,ID,1658868637
Nishihara,26.1842,127.7558,78.08,94,0,3.44,JP,1658868638
Calama,-22.4667,-68.9333,72.09,8,0,19.57,CL,1658868370
Geraldton,-28.7667,114.6,43.21,93,0,9.22,AU,1658868615
Zhangaözen,43.3,52.8,76.73,48,0,7.9,KZ,1658868638
Viedma,-40.8135,-62.9967,49.35,98,100,6.73,AR,1658868639
Morón,-34.6534,-58.6198,71.94,88,97,4.74,AR,1658868639
Sisimiut,66.9395,-53.6735,42.66,85,89,6.85,GL,1658868465
Sorong,-0.8833,131.25,76.1,92,48,7.83,ID,1658868486
Ola,59.5833,151.2833,55.85,90,98,5.57,RU,1658868645
Zwedru,6.0667,-8.1281,71.85,91,75,5.37,LR,1658868645
Semporna,4.4818,118.6112,78.57,84,100,2.89,MY,1658868646
Magaria,12.9983,8.9099,86.07,59,100,18.41,NE,1658868646
Ciudad Real,39,-4,88.14,24,0,5.99,ES,1658868646
Maniitsoq,65.4167,-52.9,40.71,92,85,9.46,GL,1658868647
Vila Franca do Campo,37.7167,-25.4333,78.19,89,39,5.59,PT,1658868647
